File,Sortieralgorithmus,Sortierdauer in ms,Speicherbedarf in bytes,Anzahl Vergleiche,Anzahl Schreibzugriffe
InversTeilsortiert1000.dat,Quicksort,1,4113072,19130,8452
InversTeilsortiert1000.dat,QuicksortRandom,2,5727432,11474,6400
InversTeilsortiert1000.dat,Shakersort,10,6775904,500000,424640
InversTeilsortiert1000.dat,Mergesort,1,7824480,9493,19952
InversTeilsortiert1000.dat,Heapsort,0,8873304,27252,8584
InversTeilsortiert1000.dat,InsertionSort,5,9921880,0,425639
InversTeilsortiert10000.dat,Quicksort,1,19841424,237158,104168
InversTeilsortiert10000.dat,QuicksortRandom,2,5636096,175972,104807
InversTeilsortiert10000.dat,Shakersort,177,13502464,50000000,42051746
InversTeilsortiert10000.dat,Mergesort,2,22939648,127904,267232
InversTeilsortiert10000.dat,Heapsort,3,30801920,371982,118994
InversTeilsortiert10000.dat,InsertionSort,80,38668288,0,42061745
InversTeilsortiert100000.dat,Quicksort,8,21201232,3037633,1450264
InversTeilsortiert100000.dat,QuicksortRandom,10,43755648,2065886,1091804
InversTeilsortiert100000.dat,Shakersort,14004,7496112,705032704,4186649775
InversTeilsortiert100000.dat,Mergesort,11,21536104,1615155,3337856
InversTeilsortiert100000.dat,Heapsort,17,25333704,4715721,1521907
InversTeilsortiert100000.dat,InsertionSort,3086,29006616,0,4186749774
Random1000.dat,Quicksort,0,30055192,12308,5220
Random1000.dat,QuicksortRandom,0,31103768,11687,6572
Random1000.dat,Shakersort,1,31626008,500000,251651
Random1000.dat,Mergesort,0,32676632,10701,19952
Random1000.dat,Heapsort,0,33331976,28713,9071
Random1000.dat,InsertionSort,0,34249496,0,252650
Random10000.dat,Quicksort,2,42111768,181821,81946
Random10000.dat,QuicksortRandom,2,49978136,171159,96258
Random10000.dat,Shakersort,166,57840408,50000000,24811075
Random10000.dat,Mergesort,1,66249032,140509,267232
Random10000.dat,Heapsort,1,74095384,387879,124293
Random10000.dat,InsertionSort,35,8224888,0,24821074
Random100000.dat,Quicksort,21,11703736,2155948,1114316
Random100000.dat,QuicksortRandom,21,17116096,2200862,1084605
Random100000.dat,Shakersort,16285,94710720,705032704,2495738388
Random100000.dat,Mergesort,13,87534736,1736315,3337856
Random100000.dat,Heapsort,22,70364224,4875066,1575022
Random100000.dat,InsertionSort,1584,53403680,0,2495838387
Teilsortiert1000.dat,Quicksort,0,54452256,24674,13902
Teilsortiert1000.dat,QuicksortRandom,0,55500832,11658,6293
Teilsortiert1000.dat,Shakersort,1,56023072,500000,78454
Teilsortiert1000.dat,Mergesort,0,57071648,9811,19952
Teilsortiert1000.dat,Heapsort,0,57597984,30132,9544
Teilsortiert1000.dat,InsertionSort,0,58646560,0,79453
Teilsortiert10000.dat,Quicksort,2,66508832,326167,188229
Teilsortiert10000.dat,QuicksortRandom,2,74375200,167706,100197
Teilsortiert10000.dat,Shakersort,141,82237472,50000000,8144650
Teilsortiert10000.dat,Mergesort,1,90626080,131738,267232
Teilsortiert10000.dat,Heapsort,2,3520128,404214,129738
Teilsortiert10000.dat,InsertionSort,11,11382400,0,8154649
Teilsortiert100000.dat,Quicksort,11,88977024,4102025,2108300
Teilsortiert100000.dat,QuicksortRandom,9,71411968,2151266,1139571
Teilsortiert100000.dat,Shakersort,7453,52013712,705032704,816067288
Teilsortiert100000.dat,Mergesort,13,43165976,1646739,3337856
Teilsortiert100000.dat,Heapsort,18,24261440,5045556,1631852
Teilsortiert100000.dat,InsertionSort,592,4852192,0,816167287
InversTeilsortiert1000.dat,BinaryTreeSort,3,5900768,156140,76296
InversTeilsortiert10000.dat,BinaryTreeSort,5,13763040,2010463,977691
InversTeilsortiert100000.dat,BinaryTreeSort,108,95029728,50924279,25099391
Random1000.dat,BinaryTreeSort,0,95551968,28851,12480
Random10000.dat,BinaryTreeSort,3,7135808,407325,173002
Random100000.dat,BinaryTreeSort,34,87876160,5390543,2269612
Teilsortiert1000.dat,BinaryTreeSort,0,88924736,241172,82882
Teilsortiert10000.dat,BinaryTreeSort,8,96791104,4138633,1407736
Teilsortiert100000.dat,BinaryTreeSort,157,81710224,99545714,33633273
